# ----------------------------------------
# Tráfico de búsqueda orgánica de Google: País
# Cuenta: La Emperatriz Tarología
# Propiedad: La Emperatriz Tarologia
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250101
# Fecha de finalización: 20260604
País,Clics de la Búsqueda de Google orgánica,Impresiones de la Búsqueda de Google orgánica,Porcentaje de clics de la Búsqueda de Google orgánica,Posición media en la Búsqueda de Google orgánica,Usuarios activos,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Ingresos publicitarios
Spain,9,933,0.00964630225080386,13.504823151125402,12,10,0.625,90.33333333333333,75,0,0
Argentina,5,102,0.049019607843137254,11.490196078431373,5,5,1,333.4,83,0,0
Germany,2,5,0.4,7.6,2,5,0.7142857142857143,940,108,0,0
United States,2,96,0.020833333333333332,14.635416666666666,4,19,0.7037037037037037,1290.5,353,0,0
Andorra,0,1,0,9,0,0,0,0,0,0,0
Australia,0,1,0,5,0,0,0,0,0,0,0
Austria,0,1,0,11,0,0,0,0,0,0,0
Bahrain,0,1,0,11,0,0,0,0,0,0,0
Bangladesh,0,2,0,7.5,0,0,0,0,0,0,0
Belgium,0,1,0,12,0,0,0,0,0,0,0
Bolivia,0,5,0,8.2,0,0,0,0,0,0,0
Brazil,0,5,0,5.2,0,0,0,0,0,0,0
Cambodia,0,2,0,11,0,0,0,0,0,0,0
Canada,0,2,0,8,0,0,0,0,0,0,0
Cape Verde,0,1,0,7,0,0,0,0,0,0,0
Chile,0,32,0,14.84375,0,0,0,0,0,0,0
Colombia,0,30,0,15.4,1,1,0.5,57,14,0,0
Costa Rica,0,3,0,24.666666666666668,0,0,0,0,0,0,0
Cuba,0,2,0,5.5,0,0,0,0,0,0,0
Dominican Republic,0,3,0,9,0,0,0,0,0,0,0
Ecuador,0,3,0,11,0,0,0,0,0,0,0
Ethiopia,0,1,0,6,0,0,0,0,0,0,0
France,0,8,0,7.25,0,0,0,0,0,0,0
Guatemala,0,1,0,12,0,0,0,0,0,0,0
Honduras,0,2,0,7,0,0,0,0,0,0,0
India,0,6,0,15.333333333333334,0,0,0,0,0,0,0
Indonesia,0,2,0,7.5,0,0,0,0,0,0,0
Italy,0,6,0,8.5,0,0,0,0,0,0,0
Japan,0,1,0,8,0,0,0,0,0,0,0
Malaysia,0,2,0,11,0,0,0,0,0,0,0
Mexico,0,66,0,12.272727272727273,0,0,0,0,0,0,0
Morocco,0,1,0,12,0,0,0,0,0,0,0
Nicaragua,0,4,0,12,0,0,0,0,0,0,0
Norway,0,1,0,5,0,0,0,0,0,0,0
Panama,0,4,0,8.5,1,0,0,0,3,0,0
Peru,0,11,0,21.181818181818183,0,0,0,0,0,0,0
Portugal,0,1,0,5,0,0,0,0,0,0,0
Puerto Rico,0,2,0,12,0,0,0,0,0,0,0
Russia,0,1,0,4,0,0,0,0,0,0,0
Saudi Arabia,0,1,0,1,0,0,0,0,0,0,0
Singapore,0,2,0,11,0,0,0,0,0,0,0
South Africa,0,1,0,4,0,0,0,0,0,0,0
South Korea,0,1,0,12,0,0,0,0,0,0,0
Sweden,0,1,0,6,0,0,0,0,0,0,0
Switzerland,0,1,0,10,0,0,0,0,0,0,0
Taiwan,0,2,0,12,0,0,0,0,0,0,0
Türkiye,0,1,0,18,0,0,0,0,0,0,0
United Kingdom,0,8,0,28.25,0,0,0,0,0,0,0
Uruguay,0,18,0,15.38888888888889,2,4,1,433,49,0,0
Venezuela,0,4,0,30.5,0,0,0,0,0,0,0
