# ----------------------------------------
# Tráfico de búsqueda orgánica de Google: Página de destino y cadena de consulta
# Cuenta: La Emperatriz Tarología
# Propiedad: La Emperatriz Tarologia
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250101
# Fecha de finalización: 20260604
Página de destino y cadena de consulta,Clics de la Búsqueda de Google orgánica,Impresiones de la Búsqueda de Google orgánica,Porcentaje de clics de la Búsqueda de Google orgánica,Posición media en la Búsqueda de Google orgánica,Usuarios activos,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Ingresos publicitarios
/,14,644,0.021739130434782608,7.613354037267081,23,34,0.68,355.95652173913044,541,0,0
/ritual-de-la-nuez-y-el-azucar-del-31-de-diciembre/,3,469,0.006396588486140725,9.637526652452026,2,2,1,338.5,8,0,0
/product-category/tarot/coleccion-mazos-tarot/,1,11,0.09090909090909091,7.818181818181818,1,1,1,10,4,0,0
/aromaterapia-que-es-y-como-funciona/,0,1,0,6,0,0,0,0,0,0,0
/category/runas/,0,10,0,6.1,0,0,0,0,0,0,0
/category/velas/,0,2,0,2.5,0,0,0,0,0,0,0
/el-loco/,0,2,0,14.5,0,0,0,0,0,0,0
/el-mago/,0,3,0,7.666666666666667,0,0,0,0,0,0,0
/heinrich-cornelius-agrippa-y-la-magia-del-renacimiento/,0,53,0,13.867924528301886,1,1,1,12,4,0,0
/la-emperatriz/,0,15,0,20.133333333333333,0,0,0,0,0,0,0
/la-suma-sacerdotisa/,0,26,0,13.615384615384615,0,0,0,0,0,0,0
/los-22-arcanos-mayores-del-tarot-y-su-significado/,0,127,0,57.47244094488189,0,0,0,0,0,0,0
/product-category/tarot/,0,5,0,3.8,0,0,0,0,0,0,0
/product-tag/cartas-tarot-tradicionales/,0,2,0,9.5,0,0,0,0,0,0,0
/product-tag/tarot-clasico/,0,6,0,4.833333333333334,0,0,0,0,0,0,0
/product/tarot-universal-de-marsella/,0,43,0,9.162790697674419,0,0,0,0,0,0,0
/product/the-llewellyn-tarot/,0,4,0,5.25,0,0,0,0,0,0,0
/rituales-fundamentos-y-referentes/,0,1,0,3,0,0,0,0,0,0,0
(not set),0,0,0,0,0,0,0,0,2,0,0
/blog/,0,0,0,0,1,1,1,1011,41,0,0
/contacto/,0,0,0,0,1,2,1,304,37,0,0
/ebooks/,0,0,0,0,1,2,1,453,36,0,0
/el-mejor-tarot-para-principiantes-tarot-rider-waite/,0,0,0,0,1,1,1,60,9,0,0
/recomendados-de-amazon/,0,0,0,0,1,0,0,2,3,0,0
