País,Usuarios activos,Sesiones,Usuarios nuevos
United States,328,463,326
Spain,368,413,368
Argentina,217,284,217
Mexico,186,215,186
Colombia,33,56,33
Uruguay,39,46,39
Chile,41,44,41
Venezuela,27,29,27
Germany,15,20,15
Peru,17,21,17
Ecuador,10,11,10
Italy,6,8,6
Puerto Rico,8,8,8
France,9,10,10
Canada,11,12,11
Switzerland,5,7,5
China,11,11,11
Poland,12,12,12
Saudi Arabia,5,5,5
(not set),6,6,6
Dominican Republic,3,3,3
Costa Rica,5,5,5
Portugal,5,6,5
Netherlands,6,6,6
United Kingdom,6,6,6
Sweden,5,5,5
Paraguay,4,4,4
Ireland,4,4,4
Panama,4,4,4
India,3,3,3
South Korea,2,2,2
Israel,2,2,2
Luxembourg,2,2,2
Singapore,2,2,2
Australia,2,2,2
Taiwan,2,2,2
Bolivia,1,1,1
Brazil,1,1,1
Bulgaria,1,1,1
Cuba,1,1,1
Denmark,1,1,1
Estonia,1,1,1
Finland,1,1,1
Indonesia,1,1,1
Norway,1,1,1
Romania,1,1,1
Thailand,1,1,1
