Fuente/medio de la sesión,Usuarios activos,Sesiones con interacción,Duración media de la sesión,Sesiones,Porcentaje de rebote
(direct) / (none),1086,668,141.03807166666667,1293,0.4833720030935808
l.instagram.com / referral,90,55,74.55299045000001,100,0.45
google / organic,27,44,439.7405823225806,62,0.2903225806451613
l.threads.com / referral,82,39,80.59532772826087,92,0.5760869565217391
ig / social,58,9,21.31270566666667,81,0.8888888888888888
bing / organic,9,8,91.43344596296298,27,0.7037037037037037
(not set),11,3,157.11942525,12,0.75
instagram.com / referral,13,6,13.372588230769232,13,0.5384615384615384
laemperatriztarot.com / referral,2,5,152.27295487499998,8,0.375
facebook.com / referral,16,10,19.7123433125,16,0.375
ig_text_feed_profile / referral,6,2,13.519142571428572,7,0.7142857142857143
ig_text_post_permalink / referral,5,2,83.75576620000001,5,0.6
m.facebook.com / referral,7,0,0,7,1
link.laemperatriztarot.com / referral,3,1,2.8803254,5,0.8
web.telegram.org / referral,2,2,20.4547375,2,0
pinterest.com / referral,2,0,0,4,1
l.facebook.com / referral,1,1,376.536018,1,0
es.search.yahoo.com / referral,2,2,106.505766,2,0
chatgpt.com / (not set),2,1,10.83146,2,0.5
duckduckgo / organic,2,1,13.472947,2,0.5
ecosia.org / organic,2,1,13.1821645,2,0.5
chatgpt.com / referral,1,1,35.421865,1,0
ig_text_feed_timeline / referral,1,1,6.251082,1,0
copilot.com / (not set),1,1,12.244872,1,0
ig_text_post_permalink / (not set),1,0,0,1,1
yahoo / organic,1,0,4.556824,1,1
