Fuente/medio de la sesión,Usuarios activos,Sesiones,Sesiones con interacción,Porcentaje de rebote,Duración media de la sesión
(direct) / (none),1086,1293,668,0.4833720030935808,141.03807166666667
l.instagram.com / referral,90,100,55,0.45,74.55299045000001
google / organic,27,62,44,0.2903225806451613,439.74058232258056
l.threads.com / referral,82,92,39,0.5760869565217391,80.59532772826087
ig / social,58,81,9,0.8888888888888888,21.31270566666667
bing / organic,9,27,8,0.7037037037037037,91.43344596296298
(not set),11,12,3,0.75,157.11942525
instagram.com / referral,13,13,6,0.5384615384615384,13.372588230769232
laemperatriztarot.com / referral,2,8,5,0.375,152.27295487499998
facebook.com / referral,16,16,10,0.375,19.7123433125
ig_text_feed_profile / referral,6,7,2,0.7142857142857143,13.519142571428572
ig_text_post_permalink / referral,5,5,2,0.6,83.75576620000001
m.facebook.com / referral,7,7,0,1,0
link.laemperatriztarot.com / referral,3,5,1,0.8,2.8803254
web.telegram.org / referral,2,2,2,0,20.4547375
pinterest.com / referral,2,4,0,1,0
l.facebook.com / referral,1,1,1,0,376.536018
es.search.yahoo.com / referral,2,2,2,0,106.505766
chatgpt.com / (not set),2,2,1,0.5,10.83146
duckduckgo / organic,2,2,1,0.5,13.472947
ecosia.org / organic,2,2,1,0.5,13.1821645
chatgpt.com / referral,1,1,1,0,35.421865
ig_text_feed_timeline / referral,1,1,1,0,6.251082
copilot.com / (not set),1,1,1,0,12.244872
ig_text_post_permalink / (not set),1,1,0,1,0
yahoo / organic,1,1,0,1,4.556824
